           #Fx:            Fy:
      -0.116933     0.00452101
      -0.116988     0.00451469
      -0.117206     0.00473302
      -0.117442     0.00508402
       -0.11751     0.00541968
      -0.117339     0.00560567
      -0.116922     0.00556419
      -0.116384     0.00531475
      -0.115846     0.00495666
      -0.115459     0.00463452
      -0.115261     0.00447012
      -0.115266     0.00451966
      -0.115369     0.00474329
      -0.115488     0.00503405
      -0.115486     0.00525635
      -0.115331     0.00531297
      -0.115007      0.0051765
       -0.11462     0.00490874
      -0.114241     0.00462287
      -0.113985     0.00444144
      -0.113855     0.00443158
       -0.11386     0.00458382
      -0.113904     0.00481342
      -0.113935     0.00500518
      -0.113852     0.00505925
      -0.113658     0.00494628
      -0.113355     0.00471298
      -0.113058     0.00446497
      -0.112826     0.00430999
      -0.112737     0.00431411
      -0.112741     0.00446738
      -0.112789     0.00469197
      -0.112761     0.00487419
      -0.112632     0.00492369
      -0.112387     0.00481108
      -0.112129     0.00458738
      -0.111919     0.00435266
       -0.11184     0.00421322
       -0.11185     0.00422838
      -0.111896     0.00438563
      -0.111859     0.00460232
      -0.111709     0.00477269
      -0.111447     0.00481218
      -0.111186     0.00470505
      -0.111004     0.00450271
      -0.110973     0.00430255
      -0.111036     0.00419479
      -0.111119      0.0042283
      -0.111093     0.00437874
      -0.110924     0.00457034
      -0.110627     0.00470624
       -0.11033     0.00472303
      -0.110135     0.00461565
       -0.11012     0.00444458
      -0.110228     0.00429392
      -0.110358     0.00423804
      -0.110364     0.00429878
      -0.110201     0.00444234
      -0.109898     0.00459183
       -0.10959     0.00467402
      -0.109391     0.00464954
      -0.109378     0.00453964
      -0.109499     0.00440195
      -0.109646     0.00430984
      -0.109673       0.004306
       -0.10952     0.00439164
      -0.109217     0.00451708
      -0.108902     0.00461799
      -0.108713     0.00464107
       -0.10873     0.00458051
      -0.108887     0.00446984
      -0.109044     0.00437232
      -0.109047     0.00433626
      -0.108855     0.00437986
      -0.108537     0.00447492
      -0.108255     0.00457175
      -0.108134     0.00461687
      -0.108211     0.00458959
      -0.108386     0.00450486
       -0.10851     0.00441209
      -0.108453     0.00435991
      -0.108212     0.00437728
      -0.107889     0.00445125
       -0.10766     0.00454321
      -0.107631     0.00460171
      -0.107789     0.00459735
       -0.10798     0.00453157
       -0.10804     0.00444312
      -0.107877      0.0043778
      -0.107564     0.00437245
      -0.107263     0.00442638
      -0.107147     0.00451212
      -0.107244     0.00458103
      -0.107457     0.00460095
      -0.107594     0.00456112
      -0.107531     0.00448677
      -0.107261      0.0044166
      -0.106935     0.00439164
      -0.106722     0.00442261
      -0.106741     0.00449497
      -0.106934     0.00456579
      -0.107145     0.00460025
       -0.10718      0.0045796
      -0.106981     0.00452134
      -0.106633     0.00445763
      -0.106346     0.00442761
       -0.10627     0.00444681
      -0.106433     0.00450755
      -0.106673     0.00457428
      -0.106797     0.00461408
       -0.10667      0.0046048
      -0.106352     0.00455692
      -0.106015     0.00449774
      -0.105864     0.00446559
      -0.105955     0.00447756
      -0.106198     0.00453089
      -0.106375     0.00459581
      -0.106333     0.00464115
      -0.106051     0.00464147
      -0.105696     0.00460277
       -0.10547     0.00454662
      -0.105506     0.00450998
      -0.105731     0.00451353
      -0.105959     0.00455953
      -0.105978      0.0046213
      -0.105744      0.0046691
      -0.105372     0.00467756
      -0.105101     0.00464683
      -0.105075     0.00459502
      -0.105286     0.00455611
      -0.105533     0.00455322
      -0.105614     0.00459189
       -0.10542     0.00465062
      -0.105063      0.0046996
      -0.104748     0.00471186
      -0.104673     0.00468536
      -0.104843     0.00463594
       -0.10511      0.0045965
       -0.10523     0.00458964
       -0.10509     0.00462308
      -0.104742     0.00467715
      -0.104411     0.00472565
      -0.104287     0.00474077
      -0.104433     0.00471839
      -0.104691      0.0046723
      -0.104848      0.0046326
      -0.104743     0.00462181
      -0.104429     0.00464863
      -0.104088     0.00469664
      -0.103941     0.00474196
      -0.104041      0.0047604
      -0.104286     0.00474505
      -0.104446     0.00470496
      -0.104384     0.00466701
      -0.104103     0.00465155
      -0.103788     0.00466936
      -0.103618     0.00470976
      -0.103689     0.00475257
      -0.103891     0.00477397
       -0.10405     0.00476519
      -0.104002     0.00473214
      -0.103768     0.00469619
      -0.103476     0.00467672
      -0.103321     0.00468646
      -0.103362     0.00471893
      -0.103539     0.00475785
      -0.103668     0.00478113
      -0.103636     0.00477746
      -0.103427     0.00474787
      -0.103185     0.00471163
      -0.103043     0.00468695
      -0.103083     0.00468722
      -0.103222     0.00470877
      -0.103339     0.00473789
      -0.103312     0.00475343
       -0.10316     0.00474277
      -0.102976     0.00470407
      -0.102896     0.00465115
      -0.102954     0.00460153
      -0.103108      0.0045679
       -0.10323     0.00454909
      -0.103265     0.00453312
      -0.103207     0.00449989
      -0.103163     0.00443495
      -0.103205     0.00433564
      -0.103377     0.00421287
      -0.103612     0.00408166
      -0.103847      0.0039563
      -0.104019     0.00383916
      -0.104167     0.00372279
       -0.10434     0.00359423
      -0.104611      0.0034449
      -0.104966     0.00327666
      -0.105376     0.00310487
      -0.105768     0.00295157
      -0.106141     0.00283718
      -0.106501     0.00277269
      -0.106907     0.00275973
      -0.107357      0.0027913
      -0.107841     0.00286404
      -0.108296     0.00297979
      -0.108704     0.00314749
      -0.109049     0.00337748
      -0.109369     0.00367564
      -0.109653     0.00403432
       -0.10989     0.00443508
      -0.110007     0.00485089
      -0.109975     0.00525434
      -0.109767     0.00562401
      -0.109422     0.00594912
      -0.108948     0.00622268
